Distance from Lap Line (m),Elevation (m),UTMX,UTMY,LongX,LatY,rayon_de_courbure,rayon_de_courbure_clipped
99.0,205.6573,436027.9138,296132.6617,18.09715552,50.52876108,2335.291777645804,250.00516283577699
100.0,205.6937,436028.6411,296131.9753,18.0971659,50.52875499,1289.5406013465715,250.00516283577699
101.0,205.68,436029.3678,296131.2884,18.09717627,50.52874889,91.19629219239249,91.19629219239249
102.0,205.6991,436030.087,296130.5935,18.09718654,50.52874272,832.8534737705447,250.00516283577699
103.0,205.6875,436030.8053,296129.8978,18.0971968,50.52873654,113.1231379116053,113.1231379116053
104.0,205.645,436031.5174,296129.1958,18.09720697,50.5287303,588.9704750126508,250.00516283577699
105.0,205.7198,436032.2284,296128.4925,18.09721712,50.52872406,115.91929480646,115.91929480646
106.0,205.6709,436032.9332,296127.7832,18.09722719,50.52871775,353.63907669142577,250.00516283577699
107.0,205.7003,436033.6361,296127.0718,18.09723723,50.52871143,94.90169023733698,94.90169023733698
108.0,205.7173,436034.3314,296126.3531,18.09724716,50.52870504,261.7301385423395,250.00516283577699
109.0,205.7103,436035.0239,296125.6318,18.09725706,50.52869863,96.85441669863569,96.85441669863569
110.0,205.7118,436035.709,296124.9033,18.09726685,50.52869215,239.42554662998882,239.42554662998882
111.0,205.7186,436036.391,296124.172,18.0972766,50.52868565,106.24853472547134,106.24853472547134
112.0,205.7206,436037.0661,296123.4343,18.09728625,50.52867909,199.00511614308522,199.00511614308522
113.0,205.7398,436037.7375,296122.6932,18.09729586,50.52867249,121.75294062265644,121.75294062265644
114.0,205.7463,436038.4028,296121.9466,18.09730537,50.52866585,87.05313363032131,87.05313363032131
115.0,205.7354,436039.0594,296121.1925,18.09731477,50.52865914,69.15317865170509,69.15317865170509
116.0,205.7625,436039.7051,296120.4289,18.09732401,50.52865234,69.66147697060693,69.66147697060693
117.0,205.7643,436040.3397,296119.6562,18.0973331,50.52864546,72.91161410342797,72.91161410342797
118.0,205.77,436040.9637,296118.8748,18.09734204,50.5286385,69.81049917714324,69.81049917714324
119.0,205.7634,436041.5764,296118.0846,18.09735082,50.52863146,98.9816641577407,98.9816641577407
120.0,205.7758,436042.1812,296117.2881,18.09735949,50.52862436,45.03184675638663,45.03184675638663
121.0,205.7614,436042.768,296116.4786,18.09736791,50.52861715,90.2432307862613,90.2432307862613
122.0,205.7657,436043.3459,296115.6625,18.0973762,50.52860987,32.82395756491636,32.82395756491636
123.0,205.7861,436043.8986,296114.8293,18.09738415,50.52860243,100.7102535108502,100.7102535108502
124.0,205.8115,436044.4431,296113.9905,18.09739197,50.52859495,29.91953998073561,29.91953998073561
125.0,205.8,436044.9592,296113.1341,18.0973994,50.5285873,146.49238043326017,146.49238043326017
126.0,205.8082,436045.4695,296112.2741,18.09740675,50.52857962,42.92189818830719,42.92189818830719
127.0,205.8037,436045.9596,296111.4025,18.09741382,50.52857184,428.91043353542875,250.00516283577699
128.0,205.8,436046.4477,296110.5297,18.09742085,50.52856404,28.248957065461344,28.248957065461344
129.0,205.7922,436046.9046,296109.6402,18.09742746,50.52855609,319.43175296771625,250.00516283577699
130.0,205.78,436047.3587,296108.7493,18.09743402,50.52854812,27.629065321825923,27.629065321825923
131.0,205.7977,436047.7803,296107.8425,18.09744012,50.52854001,141.31606865595495,141.31606865595495
132.0,205.809,436048.1954,296106.9329,18.09744613,50.52853188,28.402767635802704,28.402767635802704
133.0,205.7971,436048.5783,296106.0091,18.0974517,50.52852361,134.28959844949435,134.28959844949435
134.0,205.8027,436048.9543,296105.0825,18.09745716,50.52851532,47.77121870558266,47.77121870558266
135.0,205.8386,436049.3108,296104.1483,18.09746235,50.52850695,77.44230810167137,77.44230810167137
136.0,205.82,436049.6552,296103.2096,18.09746737,50.52849855,38.73414499622434,38.73414499622434
137.0,205.8429,436049.9753,296102.2622,18.09747205,50.52849006,56.449302980430744,56.449302980430744
138.0,205.8471,436050.2785,296101.3095,18.09747649,50.52848152,43.5372118033407,43.5372118033407
139.0,205.86,436050.5598,296100.3499,18.09748063,50.52847292,55.68799700493426,55.68799700493426
140.0,205.8629,436050.8238,296099.3855,18.09748452,50.52846428,63.898916560788706,63.898916560788706
141.0,205.8536,436051.0727,296098.417,18.0974882,50.52845559,32.99208759604481,32.99208759604481
142.0,205.8846,436051.2921,296097.4416,18.09749146,50.52844684,53.30424097112073,53.30424097112073
143.0,205.8786,436051.4932,296096.4621,18.09749447,50.52843806,29.6083680741309,29.6083680741309
144.0,205.871,436051.6611,296095.4765,18.09749701,50.52842921,76.88419249308835,76.88419249308835
145.0,205.89,436051.8162,296094.4886,18.09749936,50.52842034,33.3429621955119,33.3429621955119
146.0,205.9218,436051.9416,296093.4966,18.0975013,50.52841143,164.86912095488208,164.86912095488208
147.0,205.9166,436052.061,296092.5037,18.09750316,50.52840251,27.555903855281077,27.555903855281077
148.0,205.9029,436052.1443,296091.5072,18.0975045,50.52839356,231.9857852937277,231.9857852937277
149.0,205.9503,436052.2233,296090.5104,18.09750579,50.5283846,22.07380070286484,22.07380070286484
150.0,205.95,436052.2571,296089.511,18.09750644,50.52837561,147.03524030546052,147.03524030546052
151.0,205.96,436052.2841,296088.5115,18.09750699,50.52836663,26.796052209572974,26.796052209572974
152.0,205.97,436052.2738,296087.5115,18.09750702,50.52835763,91.68756057138779,91.68756057138779
153.0,205.9884,436052.2526,296086.5119,18.09750689,50.52834864,32.43579877190596,32.43579877190596
154.0,205.9867,436052.2006,296085.5133,18.09750633,50.52833965,60.06674525298708,60.06674525298708
155.0,205.9993,436052.132,296084.5159,18.09750553,50.52833067,36.78551211998341,36.78551211998341
156.0,206.0161,436052.0363,296083.5205,18.09750435,50.52832171,50.43713399274211,50.43713399274211
157.0,206.0162,436051.9209,296082.5273,18.09750289,50.52831276,48.643356161828954,48.643356161828954
