n moteur,m corr,csp
237.1587088096839,2.37,301.0
238.1593813046402,2.37,301.0
239.16005379959648,2.37,301.0
240.16072629455277,2.37,301.0
241.16139878950906,2.37,301.0
242.16207128446536,2.37,301.0
243.16274377942165,2.37,301.0
244.1634162743779,2.37,301.0
245.1640887693342,2.37,301.0
246.1647612642905,2.37,301.0
247.16543375924678,2.37,301.0
248.16610625420307,2.37,301.0
249.16677874915936,2.37,301.0
250.16745124411565,2.37,301.0
251.16812373907194,2.37,301.0
252.16879623402824,2.37,301.0
253.1694687289845,2.37,301.0
254.1701412239408,2.37,301.0
255.17081371889708,2.37,301.0
256.17148621385337,2.37,301.0
257.17215870880966,2.37,301.0
258.17283120376595,2.37,301.0
259.17350369872224,2.37,301.0
260.17417619367853,2.37,301.0
261.1748486886348,2.37,301.0
262.1755211835911,2.37,301.0
263.1761936785474,2.37,301.0
264.1768661735037,2.37,301.0
265.17753866846,2.37,301.0
266.1782111634163,2.37,301.0
267.1788836583725,2.37,301.0
268.1795561533288,2.37,301.0
269.1802286482851,2.37,301.0
270.1809011432414,2.37,301.0
271.1815736381977,2.37,301.0
272.18224613315397,2.37,301.0
273.18291862811026,2.37,301.0
274.18359112306655,2.37,301.0
275.18426361802284,2.37,301.0
276.18493611297913,2.37,301.0
277.1856086079354,2.37,301.0
278.1862811028917,2.37,301.0
279.186953597848,2.37,301.0
280.1876260928043,2.37,301.0
281.1882985877606,2.37,301.0
282.1889710827169,2.37,301.0
283.18964357767317,2.37,301.0
284.19031607262946,2.37,301.0
285.1909885675857,2.37,301.0
286.191661062542,2.37,301.0
287.1923335574983,2.37,301.0
288.19300605245456,2.37,301.0
289.19367854741085,2.37,301.0
290.19435104236715,2.37,301.0
291.19502353732344,2.37,301.0
292.1956960322797,2.37,301.0
293.196368527236,2.37,301.0
294.1970410221923,2.37,301.0
295.1977135171486,2.37,301.0
296.1983860121049,2.37,301.0
297.1990585070612,2.37,301.0
298.1997310020175,2.37,301.0
299.20040349697376,2.37,301.0
300.20107599193005,2.37,301.0
301.20174848688634,2.37,301.0
302.20242098184264,2.37,301.0
303.20309347679887,2.37,301.0
304.20376597175516,2.37,301.0
305.20443846671145,2.37,301.0
306.20511096166774,2.37,301.0
307.20578345662403,2.37,301.0
308.2064559515803,2.37,301.0
309.2071284465366,2.37,301.0
310.2078009414929,2.37,301.0
311.2084734364492,2.37,301.0
312.2091459314055,2.37,301.0
313.2098184263618,2.37,301.0
314.21049092131807,2.37,301.0
315.21116341627436,2.37,301.0
316.21183591123065,2.37,301.0
317.21250840618694,2.37,301.0
318.21318090114323,2.37,301.0
319.2138533960995,2.37,301.0
320.2145258910558,2.37,301.0
321.21519838601205,2.37,301.0
322.21587088096834,2.37,301.0
323.21654337592463,2.37,301.0
324.2172158708809,2.37,301.0
325.2178883658372,2.37,301.0
326.2185608607935,2.37,301.0
327.2192333557498,2.37,301.0
328.2199058507061,2.37,301.0
329.2205783456624,2.37,301.0
330.22125084061867,2.37,301.0
331.22192333557496,2.37,301.0
332.22259583053125,2.37,301.0
333.22326832548754,2.37,301.0
334.22394082044383,2.37,301.0
335.2246133154001,2.37,301.0
336.2252858103564,2.37,301.0
337.2259583053127,2.37,301.0
338.226630800269,2.37,301.0
339.2273032952253,2.37,301.0
340.2279757901815,2.37,301.0
341.2286482851378,2.37,301.0
342.2293207800941,2.37,301.0
343.2299932750504,2.37,301.0
344.2306657700067,2.37,301.0
345.231338264963,2.37,301.0
346.23201075991926,2.37,301.0
347.23268325487555,2.37,301.0
348.23335574983184,2.37,301.0
349.23402824478813,2.37,301.0
350.2347007397444,2.37,301.0
351.2353732347007,2.37,301.0
352.236045729657,2.37,301.0
353.2367182246133,2.37,301.0
354.2373907195696,2.37,301.0
355.2380632145259,2.37,301.0
356.23873570948217,2.37,301.0
357.23940820443846,2.37,301.0
358.2400806993947,2.37,301.0
359.240753194351,2.37,301.0
360.2414256893073,2.37,301.0
361.24209818426357,2.37,301.0
362.24277067921986,2.37,301.0
363.24344317417615,2.37,301.0
364.24411566913244,2.37,301.0
365.24478816408873,2.37,301.0
366.245460659045,2.37,301.0
367.2461331540013,2.37,301.0
368.2468056489576,2.37,301.0
369.2474781439139,2.37,301.0
370.2481506388702,2.37,301.0
371.2488231338265,2.37,301.0
372.24949562878277,2.37,301.0
373.25016812373906,2.37,301.0
374.25084061869535,2.37,301.0
375.25151311365164,2.37,301.0
376.2521856086079,2.37,301.0
377.25285810356417,2.37,301.0
378.25353059852046,2.37,301.0
379.25420309347675,2.37,301.0
380.25487558843304,2.37,301.0
381.25554808338933,2.37,301.0
382.2562205783456,2.37,301.0
383.2568930733019,2.37,301.0
384.2575655682582,2.37,301.0
385.2582380632145,2.37,301.0
386.2589105581708,2.37,301.0
387.2595830531271,2.37,301.0
388.26025554808336,2.37,301.0
389.26092804303966,2.37,301.0
390.26160053799595,2.37,301.0
391.26227303295224,2.37,301.0
392.2629455279085,2.37,301.0
393.2636180228648,2.37,301.0
394.2642905178211,2.37,301.0
395.26496301277734,2.37,301.0
396.26563550773363,2.37,301.0
397.2663080026899,2.37,301.0
398.2669804976462,2.37,301.0
399.2676529926025,2.37,301.0
400.2683254875588,2.37,301.0
401.2689979825151,2.37,301.0
402.2696704774714,2.37,301.0
403.27034297242767,2.37,301.0
404.27101546738396,2.37,301.0
405.27168796234025,2.37,301.0
406.27236045729654,2.37,301.0
407.27303295225283,2.37,301.0
408.2737054472091,2.37,301.0
409.2743779421654,2.37,301.0
410.2750504371217,2.37,301.0
411.275722932078,2.37,301.0
412.2763954270343,2.37,301.0
413.2770679219905,2.37,301.0
414.2777404169468,2.37,301.0
415.2784129119031,2.37,301.0
416.2790854068594,2.37,301.0
417.2797579018157,2.37,301.0
418.280430396772,2.37,301.0
419.28110289172827,2.37,301.0
420.28177538668456,2.37,301.0
421.28244788164085,2.37,301.0
422.28312037659714,2.37,301.0
423.28379287155343,2.37,301.0
424.2844653665097,2.37,301.0
425.285137861466,2.37,301.0
426.2858103564223,2.37,301.0
427.2864828513786,2.37,301.0
428.2871553463349,2.37,301.0
429.2878278412912,2.37,301.0
430.28850033624747,2.37,301.0
431.2891728312037,2.37,301.0
432.28984532616,2.37,301.0
433.2905178211163,2.37,301.0
434.2911903160726,2.37,301.0
435.29186281102886,2.37,301.0
436.29253530598515,2.37,301.0
437.29320780094145,2.37,301.0
438.29388029589774,2.37,301.0
439.294552790854,2.37,301.0
440.2952252858103,2.37,301.0
441.2958977807666,2.37,301.0
442.2965702757229,2.37,301.0
443.2972427706792,2.37,301.0
444.2979152656355,2.37,301.0
445.2985877605918,2.37,301.0
446.29926025554806,2.37,301.0
447.29993275050435,2.37,301.0
448.30060524546064,2.37,301.0
449.30127774041694,2.37,301.0
450.30195023537317,2.37,301.0
451.30262273032946,2.37,301.0
452.30329522528575,2.37,301.0
453.30396772024204,2.37,301.0
454.30464021519833,2.37,301.0
455.3053127101546,2.37,301.0
456.3059852051109,2.37,301.0
457.3066577000672,2.37,301.0
458.3073301950235,2.37,301.0
459.3080026899798,2.37,301.0
460.3086751849361,2.37,301.0
461.30934767989237,2.37,301.0
462.31002017484866,2.37,301.0
463.31069266980495,2.37,301.0
464.31136516476124,2.37,301.0
465.31203765971753,2.37,301.0
466.3127101546738,2.37,301.0
467.3133826496301,2.37,301.0
468.31405514458635,2.37,301.0
469.31472763954264,2.37,301.0
470.31540013449893,2.37,301.0
471.3160726294552,2.37,301.0
472.3167451244115,2.37,301.0
473.3174176193678,2.37,301.0
474.3180901143241,2.37,301.0
475.3187626092804,2.37,301.0
476.3194351042367,2.37,301.0
477.32010759919297,2.37,301.0
478.32078009414926,2.37,301.0
479.32145258910555,2.37,301.0
480.32212508406184,2.37,301.0
